省内频道,#genre#
CCTV-4K,http://39.134.176.148/PLTV/88888888/224/3221226758/index.m3u8
CCTV-4K,http://117.148.187.83/PLTV/88888888/224/3221226758/index.m3u8


卫视频道,#genre#
北京卫视,http://117.169.119.199:8080/live/hdbeijingstv/index.m3u8
北京卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225664/index.m3u8?
北京卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225651/index.m3u8?
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225701/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225651/index.m3u8
北京卫视,http://125.210.152.18:9090/live/BJWSHD_H265.m3u8
北京卫视,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=30&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
北京冬奥,http://111.12.102.68:6610/PLTV/77777777/224/3221225667/index.m3u8?
北京冬奥,http://117.169.119.199:8080/live/HD-8000k-1080P-beijingjishi/index.m3u8
北京冬奥,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
天津卫视,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
天津卫视,http://112.17.40.140/PLTV/88888888/224/3221226412/index.m3u8
天津卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225675/index.m3u8?
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225648/index.m3u8
天津卫视,http://ivi.bupt.edu.cn/hls/tjtv.m3u8
天津卫视,http://121.31.30.91:8081/ysten-business/live/hdtianjinstv/1.m3u8
东方卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225682/index.m3u8?
东方卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225718/index.m3u8?
东方卫视,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=050&Provider_id=&Pcontent_id=index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225647/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225700/index.m3u8
东方卫视,http://ivi.bupt.edu.cn/hls/dfhd.m3u8
东方卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8
湖南卫视,http://112.17.40.140/PLTV/88888888/224/3221226553/index.m3u8
湖南卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225692/index.m3u8?
